Epoch,Example,AutoencodedExample,Accuracy
4,job_delivery_relaxation*{13.0}*{-8.0}>{-6.0}-{-8.0}<{12.0}>machine_current_breakdown_rate+{-7.0}-{6.0}+{-3.0}-{5.0}/job_earliness_penalty+{13.0}+{13.0}-operation_windup-{11.0}EOS,job_lateness_penalty{-12.5}NULL{-0.5}{11.0}{7.5}{-11.0}{-11.0}{3.0}{-2.0}{-3.5}{-7.5}{11.0}{13.5}{8.0}job_remaining_work_to_complete{15.0}{-2.5}{8.5}){-9.5}pair_number_of_alternative_operationsjob_remaining_work_to_complete{9.5}{-13.0}{3.5}{-9.0}{0.0}{4.5}{-9.5}{13.0}{-8.5},0.0
5,job_delivery_relaxation*{13.0}*{-8.0}>{-6.0}-{-8.0}<{12.0}>machine_current_breakdown_rate+{-7.0}-{6.0}+{-3.0}-{5.0}/job_earliness_penalty+{13.0}+{13.0}-operation_windup-{11.0}EOS,job_lateness_penalty{-4.5}NULL{-0.5}-{7.5}{-11.0}{-11.0}{3.0}{5.0}{-3.5}{-7.5}{11.0}/{8.0}job_remaining_work_to_complete{15.0}{-2.5}{8.5}{-2.5}{-9.5}pair_number_of_alternative_operationsjob_remaining_work_to_complete{9.5}{-13.0}{3.5}{-9.0}{-7.5}-{-9.5}{13.0}{-8.0},0.0
4,job_delivery_relaxation+{-12.0}+{14.0}*job_time_alive-{14.0}+job_remaining_number_of_operations<{5.0}/{-12.0}+{13.0}>{0.0}-{2.0}>{8.0}-{3.0}-{-2.0}*{6.0}*{-3.0}EOS,job_lateness_penalty{-12.5}{5.0}NULL{-11.0}{9.5}{-11.0}{-11.0}{-15.0}operation_windup{-3.5}*{11.0}{-3.5}EOS{5.5}{6.5}warehouse_utilization_rate{4.0}){7.5}{-3.5}job_remaining_work_to_complete{-14.0}{0.0}{1.5}pair_expected_processing_time{-9.5}{-7.5}{12.0}{-7.5}operation_work_required,0.0
5,job_delivery_relaxation+{-12.0}+{14.0}*job_time_alive-{14.0}+job_remaining_number_of_operations<{5.0}/{-12.0}+{13.0}>{0.0}-{2.0}>{8.0}-{3.0}-{-2.0}*{6.0}*{-3.0}EOS,job_lateness_penaltymachine_cooldown{5.0}NULL{13.0}{-12.5}{-11.0}machine_cooldown{12.5}operation_windup{-15.0}*{11.0}{-3.5}{2.0}{-14.0}{6.5}{-14.0}{4.0}){7.5}{-3.5}job_remaining_work_to_complete{15.0}{0.0}{1.5}{-9.0}{-9.5}{-7.5}{14.0}{-7.5}operation_work_required,0.0
4,job_delivery_relaxation+{-2.0}+job_remaining_work_to_complete/{-9.0}-{6.0}-job_remaining_number_of_operations+{-13.0}+machine_capacity<{4.0}-machine_capacity<{-10.0}>{1.0}*{-3.0}/{-6.0}-{12.0}>{-5.0}EOS,job_lateness_penalty{-12.5}{6.0}NULL{-13.5}{9.5}{-11.0}{-11.0}{-15.0}operation_windup{-3.5}*{11.0}{-3.5}{-4.0}{-5.5}{15.0}{-14.0}{8.5}){-11.5}{5.0}job_remaining_work_to_complete{-14.0}{0.0}{-0.5}pair_expected_processing_time{-7.5}{-7.5}{12.0}{-7.5}{-9.5},0.0
5,job_delivery_relaxation+{-2.0}+job_remaining_work_to_complete/{-9.0}-{6.0}-job_remaining_number_of_operations+{-13.0}+machine_capacity<{4.0}-machine_capacity<{-10.0}>{1.0}*{-3.0}/{-6.0}-{12.0}>{-5.0}EOS,job_lateness_penalty{-4.5}{6.0}{-3.0}{7.5}+{-11.0}machine_cooldown{3.0}{-6.5}{-3.5}+{8.0}{-3.5}{-4.0}{-5.5}{15.0}{-14.0}{8.5}){-11.5}pair_number_of_alternative_operationsjob_remaining_work_to_complete+{0.0}{-0.5}{0.5}{-10.5}{-13.5}{-9.5}{-7.5}{-6.0},0.03125
4,job_delivery_relaxation<{9.0}<{2.0}>{-5.0}*{-3.0}/{2.0}/job_lateness_penalty<{1.0}<{-4.0}>{9.0}/job_delivery_relaxation/{-7.0}/{7.0}+job_time_alive/{13.0}<{-3.0}EOS,job_lateness_penalty{-12.5}{5.0}machine_cooldownpair_number_of_alternative_operations+{-5.0}machine_cooldown{3.0}{-6.5}{-3.5}{-7.5}{11.0}{-1.5}{-10.5}{-5.5}machine_replacement_cooldown{-2.5}{4.0}){7.5}{-4.5}job_remaining_work_to_complete{-14.0}{0.0}{1.5}{-12.0}{-9.5}{-7.5}{12.0}{-7.5}operation_work_required,0.03125
5,job_delivery_relaxation<{9.0}<{2.0}>{-5.0}*{-3.0}/{2.0}/job_lateness_penalty<{1.0}<{-4.0}>{9.0}/job_delivery_relaxation/{-7.0}/{7.0}+job_time_alive/{13.0}<{-3.0}EOS,job_lateness_penalty/{5.0}machine_cooldownoperation_work_required+{-5.0}machine_cooldown{3.0}{-6.5}{-15.0}{-7.5}{11.0}{-1.5}{8.0}{-5.5}{6.5}{-2.5}{4.0})pair_expected_processing_timepair_number_of_alternative_operationsjob_remaining_work_to_complete{-11.0}{0.0}{1.5}{-9.0}{-2.5}<job_remaining_work_to_complete{-7.5}{-8.0},0.03125
4,job_delivery_relaxation>{-12.0}<{-6.0}*{-1.0}<{7.0}<{-2.0}+{-8.0}*{-11.0}>{4.0}/{-12.0}/{-10.0}*{-5.0}+{-12.0}*warehouse_utilization_rate<{2.0}+{-14.0}EOS,job_lateness_penalty{-12.5}{-11.0}machine_cooldownmachine_replacement_cooldown{9.5}{-11.0}{-2.0}{3.0}{-9.0}{-3.5}{-7.5}{11.0}/{-15.0}{-5.5}{15.0}warehouse_utilization_rate{8.5})pair_expected_processing_time*job_remaining_work_to_complete{13.5}{0.0}{1.5}pair_expected_processing_time{-9.5}machine_current_breakdown_rate{14.0}{-1.5}+,0.03125
5,job_delivery_relaxation>{-12.0}<{-6.0}*{-1.0}<{7.0}<{-2.0}+{-8.0}*{-11.0}>{4.0}/{-12.0}/{-10.0}*{-5.0}+{-12.0}*warehouse_utilization_rate<{2.0}+{-14.0}EOS,job_lateness_penaltymachine_cooldown{3.5}machine_cooldown{3.0}+{-11.0}{10.5}{3.0}{-4.0}{10.5}+{11.0}/{-4.0}{12.5}{15.0}{-14.0}{8.5})pair_expected_processing_time*{7.0}{13.5}{0.0}{11.0}job_earliness_penalty{-7.5}machine_current_breakdown_rate{14.0}{-8.0}+,0.0625
